epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9234,1.33724,3.77586,1.75782,0.00446,0.625,0.29943,0.21106,0.74956,3.91054,1.23539,0,0,0
2,22.8689,1.42918,3.72979,1.67093,0.00469,0.625,0.30618,0.20507,0.76626,3.89656,1.2198,1.63399e-05,1.63399e-05,1.63399e-05
3,33.85,1.65599,3.88131,1.90898,0.00566,0.75,0.31413,0.22948,0.66822,3.90158,1.21255,3.20197e-05,3.20197e-05,3.20197e-05
4,44.6452,0.88196,3.45001,1.19844,0.00603,0.75,0.33363,0.25103,0.6863,3.84416,1.19247,4.70394e-05,4.70394e-05,4.70394e-05
5,55.9872,0.71317,3.2281,1.12688,0.00666,0.75,0.32768,0.2528,0.69806,3.80034,1.1925,6.13989e-05,6.13989e-05,6.13989e-05
6,67.027,0.98313,3.59949,1.47706,0.0078,0.75,0.34656,0.27272,0.63488,3.81985,1.14025,7.50984e-05,7.50984e-05,7.50984e-05
7,78.2792,0.65884,2.9695,1.09589,0.00976,0.75,0.37282,0.30065,0.63833,3.83744,1.12364,8.81376e-05,8.81376e-05,8.81376e-05
8,89.0469,0.73981,2.91421,1.22265,0.01403,0.75,0.38066,0.29913,0.69278,3.85987,1.10484,0.000100517,0.000100517,0.000100517
9,100.19,0.79641,2.72893,1.19142,0.02434,0.875,0.40505,0.32099,0.74064,3.84996,1.09299,0.000112236,0.000112236,0.000112236
10,111.953,0.74567,2.47958,1.10701,0.02276,0.75,0.42273,0.35666,0.7173,3.87543,1.04461,0.000123295,0.000123295,0.000123295
11,123.276,0.68272,2.34212,1.10699,0.02476,0.75,0.47074,0.37465,0.71142,3.87769,1.0307,0.000133693,0.000133693,0.000133693
12,134.262,0.81256,2.10549,1.27109,0.02961,0.75,0.48354,0.3638,0.75291,3.87162,1.04553,0.000143432,0.000143432,0.000143432
13,145.191,0.77259,2.34255,1.28953,0.04414,0.75,0.50045,0.37047,0.81886,3.86982,1.10332,0.00015251,0.00015251,0.00015251
14,156.185,0.63876,2.00759,1.20077,0.06649,0.75,0.55402,0.40858,0.85949,3.85226,1.11275,0.000160929,0.000160929,0.000160929
15,167.155,0.58535,1.49277,1.10098,0.0727,0.75,0.5564,0.45885,0.89456,3.88568,1.10226,0.000168687,0.000168687,0.000168687
16,178.831,0.88399,1.80623,1.27595,0.0539,0.625,0.50859,0.42997,0.94954,3.94627,1.09885,0.000175785,0.000175785,0.000175785
17,190.015,0.80686,1.7493,1.22287,0.06793,0.625,0.53091,0.44269,0.96862,4.01993,1.11053,0.000182223,0.000182223,0.000182223
18,201.381,0.60824,2.0527,1.12669,0.06793,0.625,0.53091,0.44269,0.96862,4.01993,1.11053,0.000188001,0.000188001,0.000188001
19,212.779,0.62426,1.64021,1.13419,0.09217,0.625,0.5371,0.46102,0.94733,4.02368,1.10328,0.000193119,0.000193119,0.000193119
20,224.373,0.5819,1.46638,1.0618,0.09217,0.625,0.5371,0.46102,0.94733,4.02368,1.10328,0.000197576,0.000197576,0.000197576
21,235.853,0.74375,1.55916,1.11754,0.10841,0.75,0.75909,0.58309,0.82302,3.87586,1.10313,0.000201374,0.000201374,0.000201374
22,246.718,0.73298,1.62281,1.07484,0.10841,0.75,0.75909,0.58309,0.82302,3.87586,1.10313,0.000204511,0.000204511,0.000204511
23,257.809,0.77977,1.88635,1.27965,0.10127,0.75,0.75816,0.5977,0.81374,3.83186,1.11767,0.000206988,0.000206988,0.000206988
