epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.76442,0.79719,2.74944,1.13199,0.00333,1,0.54287,0.47986,0.34136,2.967,0.96938,0,0,0
2,16.127,0.77032,2.60935,1.2044,0.00333,1,0.58542,0.52036,0.33893,2.96617,0.96899,1.9604e-05,1.9604e-05,1.9604e-05
3,23.3499,0.88796,2.56094,1.29937,0.00333,1,0.6975,0.6138,0.32999,2.96431,0.96802,3.8416e-05,3.8416e-05,3.8416e-05
4,30.7325,0.5953,2.51035,1.0651,0.00333,1,0.72496,0.64937,0.32267,2.96109,0.96667,5.6436e-05,5.6436e-05,5.6436e-05
5,37.7316,0.57253,2.33377,1.01955,0.00333,1,0.7532,0.67194,0.33633,2.94833,0.97422,7.3664e-05,7.3664e-05,7.3664e-05
6,44.905,0.60008,2.34592,1.05318,0.00333,1,0.77985,0.70045,0.3268,2.94463,0.9853,9.01e-05,9.01e-05,9.01e-05
7,52.1212,0.51386,2.08223,1.02582,0.00333,1,0.77974,0.71528,0.32198,2.93111,0.98366,0.000105744,0.000105744,0.000105744
8,59.3679,0.44663,1.83769,1.01604,0.00333,1,0.80806,0.74412,0.34612,2.89328,0.97342,0.000120596,0.000120596,0.000120596
9,66.4767,0.50514,1.65031,1.01462,0.00333,1,0.80804,0.72728,0.39174,2.82759,0.98343,0.000134656,0.000134656,0.000134656
10,73.8378,0.48408,1.38911,1.05842,0.00333,1,0.80804,0.72728,0.40503,2.73518,0.98686,0.000147924,0.000147924,0.000147924
11,81.056,0.47044,1.28786,0.95859,0.00712,0.83333,0.80803,0.71573,0.40274,2.61845,0.99829,0.0001604,0.0001604,0.0001604
12,88.2704,0.56749,1.31129,0.98988,0.73408,0.83333,0.80802,0.70344,0.43297,2.53572,1.02171,0.000172084,0.000172084,0.000172084
13,95.5661,0.46369,1.18562,1.02888,0.77145,0.83333,0.77966,0.70128,0.45234,2.50427,1.0403,0.000182976,0.000182976,0.000182976
14,102.697,0.40866,1.06974,0.89516,0.75701,0.83333,0.753,0.65942,0.45008,2.51004,1.00763,0.000193076,0.000193076,0.000193076
15,109.891,0.50797,0.9624,0.99899,0.69629,0.83333,0.72465,0.65557,0.41238,2.57623,0.9598,0.000202384,0.000202384,0.000202384
16,117.079,0.51294,1.01186,0.97501,0.02816,0.83333,0.69713,0.64085,0.38104,2.67155,0.92602,0.0002109,0.0002109,0.0002109
17,124.395,0.43861,0.8779,0.93485,0.00673,0.83333,0.69712,0.64978,0.37972,2.73275,0.8976,0.000218624,0.000218624,0.000218624
18,131.419,0.35097,0.84532,0.86087,0.00673,0.83333,0.69712,0.64978,0.37972,2.73275,0.8976,0.000225556,0.000225556,0.000225556
19,138.602,0.42262,0.87533,0.91965,0.82837,0.83333,0.69715,0.64981,0.40462,2.71552,0.89768,0.000231696,0.000231696,0.000231696
20,145.954,0.5384,0.99287,1.00852,0.82837,0.83333,0.69715,0.64981,0.40462,2.71552,0.89768,0.000237044,0.000237044,0.000237044
21,153.121,0.46805,0.80736,0.9648,0.80447,0.68902,0.69707,0.64816,0.43572,2.69523,0.8888,0.0002416,0.0002416,0.0002416
22,160.636,0.46839,0.91831,0.99484,0.80447,0.68902,0.69707,0.64816,0.43572,2.69523,0.8888,0.000245364,0.000245364,0.000245364
23,167.879,0.46253,0.95425,0.98751,0.82548,0.79408,0.72438,0.6816,0.46331,2.63878,0.87984,0.000248336,0.000248336,0.000248336
24,175.071,0.44492,0.88022,0.89769,0.82548,0.79408,0.72438,0.6816,0.46331,2.63878,0.87984,0.000250516,0.000250516,0.000250516
25,182.221,0.44669,0.88265,0.92139,0.83067,0.82001,0.80755,0.77621,0.4591,2.61555,0.85551,0.000251904,0.000251904,0.000251904
26,189.419,0.47673,0.92343,0.96722,0.83067,0.82001,0.80755,0.77621,0.4591,2.61555,0.85551,0.0002525,0.0002525,0.0002525
27,196.763,0.46694,0.84641,0.91957,0.8188,0.83333,0.77916,0.75061,0.42886,2.55129,0.84592,0.000252304,0.000252304,0.000252304
28,204.077,0.46131,0.8314,1.00842,0.8188,0.83333,0.77916,0.75061,0.42886,2.55129,0.84592,0.000251316,0.000251316,0.000251316
29,211.193,0.42822,0.75041,0.90955,0.78394,0.83333,0.77928,0.72447,0.43904,2.47301,0.85023,0.000249536,0.000249536,0.000249536
30,218.33,0.41979,0.79349,0.90829,0.78394,0.83333,0.77928,0.72447,0.43904,2.47301,0.85023,0.000246964,0.000246964,0.000246964
31,225.732,0.4084,0.78035,1.03102,0.78752,0.83333,0.77958,0.71517,0.44555,2.46718,0.84576,0.0002436,0.0002436,0.0002436
32,232.978,0.44341,0.93139,0.93558,0.78752,0.83333,0.77958,0.71517,0.44555,2.46718,0.84576,0.000239444,0.000239444,0.000239444
33,240.091,0.40637,0.72043,0.93162,0.79394,0.83333,0.7797,0.71636,0.43081,2.39974,0.8322,0.000234496,0.000234496,0.000234496
34,247.063,0.47647,0.90776,0.95511,0.79394,0.83333,0.7797,0.71636,0.43081,2.39974,0.8322,0.000228756,0.000228756,0.000228756
35,254.244,0.39391,0.79727,0.92602,0.81673,0.83333,0.77975,0.7235,0.40964,2.28733,0.82115,0.000222224,0.000222224,0.000222224
36,261.525,0.41568,0.75085,0.91983,0.81673,0.83333,0.77975,0.7235,0.40964,2.28733,0.82115,0.0002149,0.0002149,0.0002149
37,268.84,0.42064,0.81329,0.8873,0.82474,0.83333,0.77976,0.73718,0.40943,2.22922,0.82265,0.000206784,0.000206784,0.000206784
38,276.025,0.52689,0.93153,1.00823,0.82474,0.83333,0.77976,0.73718,0.40943,2.22922,0.82265,0.000197876,0.000197876,0.000197876
